,Price,Area,Location,No. of Bedrooms,City
14868,5340000,880,Madipakkam,2,Chennai
14869,9198000,1260,Velachery,3,Chennai
14870,4172000,843,tambaram west,2,Chennai
14871,4613000,932,tambaram west,2,Chennai
14872,4950000,1000,tambaram west,2,Chennai
14877,5130000,950,Kilkattalai,2,Chennai
14878,4860000,900,Kilkattalai,2,Chennai
14881,4488000,1020,Kovilambakkam,2,Chennai
14883,5022000,930,Kilkattalai,2,Chennai
14884,4070000,925,Kovilambakkam,2,Chennai
14885,3828000,870,Kovilambakkam,2,Chennai
14887,4718000,983,Sembakkam,2,Chennai
14888,5116000,1066,Rajakilpakkam,2,Chennai
14889,4140000,900,Madambakkam,2,Chennai
14890,4176000,870,Sembakkam,2,Chennai
14891,4290000,975,Kovilambakkam,2,Chennai
14892,3889000,884,Kovilambakkam,2,Chennai
14898,4300000,884,Madipakkam,2,Chennai
14902,4299000,945,Chromepet,2,Chennai
14904,4472000,983,Sembakkam,2,Chennai
14906,5181000,942,Chromepet,2,Chennai
14907,4372000,795,Chromepet,2,Chennai
14908,4086999,865,Sembakkam,2,Chennai
14910,5036000,1066,Madambakkam,2,Chennai
14911,4928000,896,Chromepet,2,Chennai
14920,3779999,800,Rajakilpakkam,2,Chennai
14921,4086999,865,Madambakkam,2,Chennai
14926,2850000,600,Selaiyur,1,Chennai
14930,4678000,985,tambaram west,2,Chennai
14931,4479000,943,tambaram west,2,Chennai
14932,4108000,865,tambaram west,2,Chennai
14933,4218000,888,tambaram west,2,Chennai
14935,4678000,985,tambaram west,2,Chennai
14936,19500000,1566,Thiruvanmiyur,3,Chennai
14937,4500000,954,East Tambaram,2,Chennai
14941,4000000,983,Maraimalai Nagar,2,Chennai
14942,4000000,977,Maraimalai Nagar,2,Chennai
14944,4000000,976,Maraimalai Nagar,2,Chennai
14945,6240000,1040,Velachery,2,Chennai
14946,4040000,1010,tambaram west,2,Chennai
14947,4000000,1040,Pozhichalur,2,Chennai
14948,3340000,835,tambaram west,2,Chennai
14950,5610000,935,Velachery,2,Chennai
14954,6321000,1277,Kolapakkam,3,Chennai
14955,5999000,1212,Kolapakkam,3,Chennai
14956,6004000,1213,Kolapakkam,3,Chennai
14960,5915000,1195,Kolapakkam,3,Chennai
14962,5925000,1197,Kolapakkam,3,Chennai
14964,6271000,1267,Kolapakkam,3,Chennai
14966,5000000,1035,Sholinganallur,2,Chennai
14967,65000000,2692,Kotturpuram,4,Chennai
14968,51600000,3355,Anna Nagar,4,Chennai
14969,33000000,2450,Kilpauk,3,Chennai
14971,54900000,3050,Alwarpet,3,Chennai
14972,5700000,850,Perambur,2,Chennai
14976,3200000,576,Mevalurkuppam,1,Chennai
14978,3200000,603,Moolacheri,1,Chennai
14979,8000000,1710,Mevalurkuppam,4,Chennai
14996,10200000,1816,Mugalivakkam,3,Chennai
14997,11500000,2096,Mugalivakkam,4,Chennai
14998,8563000,1557,Mugalivakkam,3,Chennai
14999,3211999,584,Mugalivakkam,1,Chennai
15000,8981000,1633,Mugalivakkam,3,Chennai
15001,3289000,598,Mugalivakkam,1,Chennai
15003,3656000,610,Iyappanthangal,1,Chennai
15012,4460000,1115,tambaram west,2,Chennai
15013,3660000,915,tambaram west,2,Chennai
15014,3885000,1110,tambaram west,2,Chennai
15016,3885000,1110,West Tambaram,2,Chennai
15017,3202000,915,West Tambaram,2,Chennai
15029,3806000,635,Iyappanthangal,1,Chennai
15031,3746000,625,Iyappanthangal,1,Chennai
15035,4942000,1131,Perungalathur,2,Chennai
15038,2279000,570,Avadi,1,Chennai
15043,2311000,578,Avadi,1,Chennai
15046,8675000,1641,Mugalivakkam,3,Chennai
15047,8675000,1641,Mugalivakkam,3,Chennai
15048,8675000,1641,Mugalivakkam,3,Chennai
15049,8675000,1641,Mugalivakkam,3,Chennai
15050,8675000,1641,Mugalivakkam,3,Chennai
15051,8675000,1641,Mugalivakkam,3,Chennai
15052,8675000,1641,Mugalivakkam,3,Chennai
15053,8675000,1641,Mugalivakkam,3,Chennai
