,Price,Area,Location,No. of Bedrooms,City
0,4850000,720,Kharghar,1,Mumbai
1,4500000,600,Kharghar,1,Mumbai
2,6700000,650,Kharghar,1,Mumbai
3,4500000,650,Kharghar,1,Mumbai
4,5000000,665,Kharghar,1,Mumbai
22,4200000,680,Kharghar,1,Mumbai
23,28000000,2470,Kharghar,4,Mumbai
24,40000000,2100,Kharghar,4,Mumbai
39,6000000,555,Kharghar,1,Mumbai
40,6200000,650,Kharghar,1,Mumbai
41,5000000,600,Kharghar,1,Mumbai
42,6500000,650,Kharghar,1,Mumbai
43,5200000,700,Kharghar,1,Mumbai
44,4200000,646,Kharghar,1,Mumbai
45,5500000,560,Kharghar,1,Mumbai
46,5500000,670,Kharghar,1,Mumbai
47,6000000,740,Kharghar,1,Mumbai
48,5500000,636,Kharghar,1,Mumbai
49,4200000,680,Kharghar,1,Mumbai
50,16500000,1635,Kharghar,3,Mumbai
53,22500000,1850,Kharghar,3,Mumbai
54,40000000,2100,Kharghar,4,Mumbai
55,5700000,610,Kharghar,1,Mumbai
56,4800000,655,Kharghar,1,Mumbai
57,4500000,660,Kharghar,1,Mumbai
58,4300000,650,Kharghar,1,Mumbai
59,4500000,680,Kharghar,1,Mumbai
60,5300000,670,Kharghar,1,Mumbai
61,4803000,655,Kharghar,1,Mumbai
63,15500000,1645,Kharghar,3,Mumbai
64,13000000,1395,Kharghar,3,Mumbai
68,4500000,615,Kharghar,1,Mumbai
69,5300000,670,Kharghar,1,Mumbai
70,6000000,765,Kharghar,1,Mumbai
71,5600000,650,Kharghar,1,Mumbai
72,4803000,655,Kharghar,1,Mumbai
73,17500000,1760,Kharghar,3,Mumbai
77,16600000,1650,Kharghar,3,Mumbai
78,13000000,1395,Kharghar,3,Mumbai
80,16600000,1650,Kharghar,3,Mumbai
81,13000000,1395,Kharghar,3,Mumbai
84,5700000,650,Kharghar,1,Mumbai
85,5500000,560,Kharghar,1,Mumbai
86,6000000,765,Kharghar,1,Mumbai
87,5600000,650,Kharghar,1,Mumbai
88,4900000,655,Kharghar,1,Mumbai
89,13500000,1390,Kharghar,3,Mumbai
90,22000000,1590,Kharghar,3,Mumbai
91,17500000,1760,Kharghar,3,Mumbai
92,17800000,1716,Kharghar,3,Mumbai
98,17500000,1760,Kharghar,3,Mumbai
103,15000000,1300,Kharghar,3,Mumbai
107,6200000,650,Kharghar,1,Mumbai
108,5500000,650,Kharghar,1,Mumbai
109,5000000,600,Sector 20 Kharghar,1,Mumbai
110,5000000,550,Kharghar,1,Mumbai
111,5500000,550,Kharghar,1,Mumbai
112,4200000,650,Kharghar,1,Mumbai
113,5200000,700,Kharghar,1,Mumbai
114,4200000,646,Kharghar,1,Mumbai
115,6500000,650,Kharghar,1,Mumbai
116,6000000,740,Kharghar,1,Mumbai
117,5000000,570,Kharghar,1,Mumbai
118,5500000,670,Kharghar,1,Mumbai
119,4200000,680,Kharghar,1,Mumbai
120,5500000,636,Kharghar,1,Mumbai
121,4300000,640,Kharghar,1,Mumbai
123,16500000,1635,Kharghar,3,Mumbai
128,22000000,1590,Kharghar,3,Mumbai
130,16600000,1650,Kharghar,3,Mumbai
134,6000000,555,Kharghar,1,Mumbai
135,4900000,600,Kharghar,1,Mumbai
136,4200000,646,Kharghar,1,Mumbai
137,6500000,650,Kharghar,1,Mumbai
138,4500000,650,Kharghar,1,Mumbai
139,6000000,740,Kharghar,1,Mumbai
140,5500000,670,Kharghar,1,Mumbai
141,4300000,640,Kharghar,1,Mumbai
142,5500000,650,Kharghar,1,Mumbai
143,13500000,1400,Kharghar,3,Mumbai
151,5100000,700,Kharghar,1,Mumbai
152,5200000,625,Kharghar,1,Mumbai
153,4200000,646,Kharghar,1,Mumbai
154,5500000,670,Kharghar,1,Mumbai
155,5500000,550,Kharghar,1,Mumbai
156,6500000,650,Kharghar,1,Mumbai
157,5400000,650,Kharghar,1,Mumbai
158,5300000,660,Kharghar,1,Mumbai
159,5500000,550,Kharghar,1,Mumbai
160,5000000,570,Kharghar,1,Mumbai
163,17100000,1760,Kharghar,3,Mumbai
166,6000000,759,Kharghar,1,Mumbai
167,4850000,600,Kharghar,1,Mumbai
168,4300000,640,Kharghar,1,Mumbai
169,4500000,550,Kharghar,1,Mumbai
170,4100000,620,Kharghar,1,Mumbai
171,5000000,550,Kharghar,1,Mumbai
172,5500000,745,Kharghar,1,Mumbai
173,4500000,580,Kharghar,1,Mumbai
174,5000000,570,Kharghar,1,Mumbai
175,5300000,670,Kharghar,1,Mumbai
176,19000000,1845,Kharghar,3,Mumbai
178,13500000,1400,Kharghar,3,Mumbai
180,15500000,1645,Kharghar,3,Mumbai
181,16500000,1585,Kharghar,3,Mumbai
185,4700000,625,Kharghar,1,Mumbai
186,6200000,720,Kharghar,1,Mumbai
187,4500000,550,Kharghar,1,Mumbai
188,6900000,735,Kharghar,1,Mumbai
189,4500000,580,Kharghar,1,Mumbai
198,4500000,550,Kharghar,1,Mumbai
203,16200000,1650,Kharghar,3,Mumbai
204,15000000,1440,Kharghar,3,Mumbai
205,13200000,1370,Kharghar,3,Mumbai
211,16200000,1675,Kharghar,3,Mumbai
214,5600000,670,Kharghar,1,Mumbai
217,2018000,375,Dombivali,1,Mumbai
218,65000000,1200,other,2,Mumbai
219,45000000,1717,other,3,Mumbai
221,2375000,525,Kalyan East,1,Mumbai
223,2000000,420,Virar East,1,Mumbai
224,2500000,540,Virar East,1,Mumbai
225,2250000,415,Virar East,1,Mumbai
226,2700000,650,Virar,1,Mumbai
230,4760000,700,Mira Road East,1,Mumbai
232,23800000,1638,Goregaon West,3,Mumbai
233,21200000,1465,Goregaon West,3,Mumbai
234,8600000,700,Borivali East,1,Mumbai
235,36500000,2030,Goregaon West,3,Mumbai
247,9000000,765,Kandivali West,1,Mumbai
249,9000000,640,Goregaon West,1,Mumbai
253,27900000,1656,Goregaon West,3,Mumbai
254,81600000,3888,Goregaon West,4,Mumbai
257,60100000,3585,Goregaon West,4,Mumbai
258,27900000,1404,Goregaon East,2,Mumbai
259,31500000,1620,Goregaon East,3,Mumbai
261,31000000,1672,Malad East,3,Mumbai
267,2300000,310,Kharghar,1,Mumbai
268,33000000,1245,Wadala,3,Mumbai
269,29000000,1153,Wadala,3,Mumbai
270,11200000,573,Ulwe,2,Mumbai
274,11500000,560,Malad West,1,Mumbai
280,41200000,1872,Goregaon,4,Mumbai
282,36700000,1675,Goregaon East,4,Mumbai
285,5500000,425,Bhandup West,1,Mumbai
286,9000000,560,other,1,Mumbai
287,32500000,1200,Santacruz West,2,Mumbai
288,8500000,575,Kanjurmarg,1,Mumbai
289,8500000,575,Kanjurmarg,1,Mumbai
290,9000000,400,Borivali East,1,Mumbai
291,2500000,300,Kandivali East,1,Mumbai
292,5500000,400,other,1,Mumbai
293,8000000,650,other,1,Mumbai
295,11500000,860,other,1,Mumbai
296,35900000,1320,Parel,2,Mumbai
297,42000000,1200,Lower Parel,2,Mumbai
298,33100000,1320,Parel,2,Mumbai
299,106000000,2826,Worli,3,Mumbai
300,101400000,2880,Lower Parel,3,Mumbai
301,32500000,997,other,3,Mumbai
303,11000000,600,Malad West,1,Mumbai
304,9200000,400,other,1,Mumbai
305,50100000,2800,other,4,Mumbai
306,33000000,1400,Chembur East,3,Mumbai
307,34100000,1500,other,3,Mumbai
308,21800000,1412,Mulund,3,Mumbai
309,21800000,1412,Mulund,3,Mumbai
310,21200000,1412,Mulund,3,Mumbai
311,3000000,545,Nalasopara West,1,Mumbai
312,11000000,585,other,1,Mumbai
314,19500000,1050,other,2,Mumbai
315,19500000,1014,other,2,Mumbai
317,11500000,600,other,1,Mumbai
320,90000000,5245,Thane West,5,Mumbai
321,2100000,529,other,1,Mumbai
322,3600000,530,Sector 20 Kharghar,1,Mumbai
325,9200000,1150,Sector 17 Ulwe,2,Mumbai
326,5300000,690,Sector 17 Ulwe,1,Mumbai
327,15500000,1240,Sector9 Kamothe,3,Mumbai
328,9500000,1260,Sector 19 Kharghar,2,Mumbai
331,10800000,1260,Sector12 Kamothe,2,Mumbai
333,7200000,1055,Sector 19 Kharghar,2,Mumbai
336,8500000,1150,Sector12 Kamothe,2,Mumbai
337,8500000,1165,Sector12 Kamothe,2,Mumbai
338,7700000,1080,Sector9 Kamothe,2,Mumbai
340,6000000,610,Sector9 Kamothe,1,Mumbai
341,9200000,1180,Sector12 Kamothe,2,Mumbai
342,15000000,1735,Sector9 Kamothe,3,Mumbai
343,11000000,1230,Sector 17 Ulwe,2,Mumbai
344,4500000,599,Sector 17 Ulwe,1,Mumbai
345,8800000,980,Sector9 Kamothe,2,Mumbai
346,16500000,1654,Sector9 Kamothe,3,Mumbai
351,3400000,730,other,1,Mumbai
355,50100000,2800,other,4,Mumbai
356,10700000,715,Chembur,1,Mumbai
362,8500000,1150,Sector12 Kamothe,2,Mumbai
363,8500000,1165,Sector12 Kamothe,2,Mumbai
364,7700000,1080,Sector9 Kamothe,2,Mumbai
366,6000000,610,Sector9 Kamothe,1,Mumbai
367,9200000,1180,Sector12 Kamothe,2,Mumbai
368,15000000,1735,Sector9 Kamothe,3,Mumbai
369,11000000,1230,Sector 17 Ulwe,2,Mumbai
370,4500000,599,Sector 17 Ulwe,1,Mumbai
371,8800000,980,Sector9 Kamothe,2,Mumbai
372,16500000,1654,Sector9 Kamothe,3,Mumbai
376,5000000,578,other,1,Mumbai
377,5000000,650,other,1,Mumbai
378,4000000,600,other,1,Mumbai
379,5000000,600,other,1,Mumbai
380,6250000,625,other,1,Mumbai
381,4800000,600,other,1,Mumbai
382,3800000,560,other,1,Mumbai
383,3600000,580,other,1,Mumbai
384,4400000,530,other,1,Mumbai
385,5000000,650,Sector-18 Ulwe,1,Mumbai
387,2600000,380,other,1,Mumbai
388,2600000,400,other,1,Mumbai
389,21000000,620,other,2,Mumbai
391,3400000,730,other,1,Mumbai
400,14000000,671,other,1,Mumbai
401,22000000,1650,Kharghar,3,Mumbai
405,4000000,750,Taloja,1,Mumbai
406,2500000,450,Taloja,1,Mumbai
407,2300000,410,Taloja,1,Mumbai
408,45000000,1168,Lower Parel,2,Mumbai
409,5700000,516,Thane,1,Mumbai
410,9600000,900,other,1,Mumbai
411,2010000,600,other,1,Mumbai
412,2005000,575,other,1,Mumbai
413,2548000,675,other,1,Mumbai
414,2492000,660,other,1,Mumbai
415,2418000,640,other,1,Mumbai
416,2400000,690,Ambernath West,1,Mumbai
417,21700000,900,other,2,Mumbai
419,2900000,350,other,1,Mumbai
421,21700000,900,other,2,Mumbai
422,4000000,620,Kamothe,1,Mumbai
425,7500000,890,Sector 17 Ulwe,2,Mumbai
426,5425000,619,Kamothe,1,Mumbai
427,5700000,710,Kamothe,1,Mumbai
431,6200000,660,other,1,Mumbai
432,5500000,650,Sector 17 Ulwe,1,Mumbai
433,5000000,650,Kamothe,1,Mumbai
434,4050000,638,Kamothe,1,Mumbai
436,7400000,890,Sector 17 Ulwe,2,Mumbai
438,3000000,420,Kamothe,1,Mumbai
439,5200000,850,Kamothe,1,Mumbai
443,5460000,620,Kamothe,1,Mumbai
447,4800000,600,Kamothe,1,Mumbai
448,2700000,350,Sector 17 Ulwe,1,Mumbai
450,36000000,900,other,2,Mumbai
451,35000000,700,other,2,Mumbai
452,30000000,850,Bandra West,2,Mumbai
453,35000000,800,other,2,Mumbai
454,35000000,800,other,2,Mumbai
455,2100000,770,Palghar,1,Mumbai
457,14900000,1550,Kharghar,3,Mumbai
458,3700000,550,other,1,Mumbai
459,2700000,416,Sector 20 Kharghar,1,Mumbai
460,3850000,510,Kharghar,1,Mumbai
461,2850000,305,Kharghar,1,Mumbai
468,5000000,650,other,1,Mumbai
469,17500000,1750,Kharghar,3,Mumbai
471,16500000,1560,Kharghar,3,Mumbai
472,3700000,640,Kharghar,1,Mumbai
473,2700000,350,other,1,Mumbai
475,22000000,1770,Kharghar,3,Mumbai
477,3100000,450,Kharghar,1,Mumbai
478,5500000,655,Kharghar,1,Mumbai
479,32799999,780,Santacruz West,2,Mumbai
480,32799999,780,Santacruz West,2,Mumbai
481,11000000,550,other,1,Mumbai
482,12000000,510,Goregaon West,1,Mumbai
484,2900000,558,Vasai east,1,Mumbai
485,36100000,1237,other,3,Mumbai
486,3682000,715,other,1,Mumbai
488,2100000,495,Thane,1,Mumbai
489,2700000,570,Panvel,1,Mumbai
490,3600000,575,other,1,Mumbai
491,2865000,675,Badlapur East,1,Mumbai
492,2374000,634,Ambernath West,1,Mumbai
493,5200000,580,other,1,Mumbai
495,62500000,2665,Goregaon West,3,Mumbai
499,11000000,756,Juhu,2,Mumbai
500,36100000,1237,other,3,Mumbai
501,3682000,715,other,1,Mumbai
502,3600000,575,other,1,Mumbai
503,2865000,675,Badlapur East,1,Mumbai
505,2100000,495,Thane,1,Mumbai
506,2700000,570,Panvel,1,Mumbai
507,3985000,670,other,1,Mumbai
508,2200000,500,Naigaon East,1,Mumbai
509,2300000,500,Naigaon East,1,Mumbai
510,2650000,673,other,1,Mumbai
511,4600000,650,Mira Road East,1,Mumbai
512,2374000,634,Ambernath West,1,Mumbai
513,5000000,735,Ulwe,1,Mumbai
515,72000000,1141,Bandra East,3,Mumbai
517,18500000,1250,Nerul,2,Mumbai
518,4700000,650,Karanjade,1,Mumbai
519,4100000,690,Karanjade,1,Mumbai
520,4000000,670,Karanjade,1,Mumbai
521,4300000,654,Karanjade,1,Mumbai
522,3950000,630,Karanjade,1,Mumbai
523,3850000,635,Karanjade,1,Mumbai
524,22500000,1750,Sanpada,3,Mumbai
526,6000000,687,Sector-18 Ulwe,1,Mumbai
528,3500000,690,Dronagiri,1,Mumbai
530,5800000,540,Ulwe,1,Mumbai
532,27500000,3000,Sector-3 Ulwe,4,Mumbai
533,15500000,1500,Sector-3 Ulwe,3,Mumbai
534,13799999,1440,Sector-3 Ulwe,2,Mumbai
535,3400000,704,Dronagiri,1,Mumbai
536,3500000,688,Dronagiri,1,Mumbai
537,5200000,667,Sector 17 Ulwe,1,Mumbai
538,2400000,625,Dronagiri,1,Mumbai
539,4900000,650,other,1,Mumbai
541,3500000,690,Dronagiri,1,Mumbai
543,5800000,540,Ulwe,1,Mumbai
545,27500000,3000,Sector-3 Ulwe,4,Mumbai
546,15500000,1500,Sector-3 Ulwe,3,Mumbai
547,13799999,1440,Sector-3 Ulwe,2,Mumbai
548,3400000,704,Dronagiri,1,Mumbai
549,3500000,688,Dronagiri,1,Mumbai
550,5200000,667,Sector 17 Ulwe,1,Mumbai
551,2400000,625,Dronagiri,1,Mumbai
552,4900000,650,other,1,Mumbai
553,4500000,610,Ulwe,1,Mumbai
557,4900000,665,Sector 17 Ulwe,1,Mumbai
561,3588000,690,other,1,Mumbai
562,3800000,655,Sector 17 Ulwe,1,Mumbai
563,3500000,655,Sector 17 Ulwe,1,Mumbai
564,3700000,650,other,1,Mumbai
566,4900000,700,Ulwe,1,Mumbai
567,5400000,547,other,1,Mumbai
568,60100000,1435,Juhu,3,Mumbai
569,3000000,650,Dronagiri,1,Mumbai
570,3650000,665,Dronagiri,1,Mumbai
571,4200000,690,Dronagiri,1,Mumbai
572,3001000,675,Dronagiri,1,Mumbai
574,3300000,625,Karanjade,1,Mumbai
575,2850000,530,Karanjade,1,Mumbai
576,2100000,395,Karanjade,1,Mumbai
580,5400000,547,other,1,Mumbai
581,60100000,1435,Juhu,3,Mumbai
582,3000000,650,Dronagiri,1,Mumbai
583,3650000,665,Dronagiri,1,Mumbai
584,4200000,690,Dronagiri,1,Mumbai
585,3001000,675,Dronagiri,1,Mumbai
588,4000000,568,Bhiwandi,2,Mumbai
590,2580000,605,Nala Sopara,1,Mumbai
593,6952000,802,Bhiwandi,2,Mumbai
594,2451000,570,Nala Sopara,1,Mumbai
595,6137000,829,Bhiwandi,2,Mumbai
596,5600000,710,Mira Road East,1,Mumbai
598,8100000,1108,Bhiwandi,3,Mumbai
599,8100000,1032,Bhiwandi,2,Mumbai
600,7500000,985,Bhiwandi,2,Mumbai
601,6800000,880,Bhiwandi,2,Mumbai
602,6200000,829,Bhiwandi,2,Mumbai
603,5600000,802,Bhiwandi,2,Mumbai
605,4100000,534,Nala Sopara,1,Mumbai
607,3700000,730,Nala Sopara,1,Mumbai
609,3350000,650,Vasai,1,Mumbai
610,85000000,2350,other,4,Mumbai
611,6500000,650,Dahisar,1,Mumbai
612,18000000,1462,Ghatkopar,3,Mumbai
613,8500000,676,Ghatkopar,1,Mumbai
614,125000000,2904,Worli,4,Mumbai
615,80000000,1500,other,2,Mumbai
620,25400000,1431,Wadala,2,Mumbai
623,29000000,1404,Goregaon East,2,Mumbai
624,30000000,1200,Malad East,3,Mumbai
625,46500000,1413,other,2,Mumbai
627,2035000,574,other,1,Mumbai
628,8500000,507,Thane,1,Mumbai
632,6800000,547,Thane,2,Mumbai
637,3000000,600,Thane,1,Mumbai
639,5300000,275,Thane,1,Mumbai
642,16000000,1350,Sector 17 Ulwe,2,Mumbai
645,7500000,725,other,1,Mumbai
650,3000000,600,Thane,1,Mumbai
652,5300000,275,Thane,1,Mumbai
653,3000000,275,Thane,1,Mumbai
654,2000000,275,Thane,1,Mumbai
655,2000000,275,Thane,1,Mumbai
656,5300000,275,Thane,1,Mumbai
657,5300000,275,Thane,1,Mumbai
659,2000000,275,Thane,1,Mumbai
660,2000000,275,Thane,1,Mumbai
661,5300000,275,Thane,1,Mumbai
662,3000000,275,Thane,1,Mumbai
663,2000000,275,Thane,1,Mumbai
664,5300000,275,Thane,1,Mumbai
665,5300000,275,Thane,1,Mumbai
666,2000000,275,Thane,1,Mumbai
667,5300000,275,Thane,1,Mumbai
668,5300000,275,Thane,1,Mumbai
669,2000000,275,Thane,1,Mumbai
670,2000000,275,Thane,1,Mumbai
671,2000000,275,Thane,1,Mumbai
672,2000000,275,Thane,1,Mumbai
673,8500000,275,Thane,1,Mumbai
674,5300000,275,Thane,1,Mumbai
675,2000000,275,Thane,1,Mumbai
676,5300000,275,Thane,1,Mumbai
677,5300000,275,Thane,1,Mumbai
678,3000000,275,Thane,1,Mumbai
679,2000000,275,Thane,1,Mumbai
680,3000000,530,Thane,1,Mumbai
681,8800000,600,Kandivali West,1,Mumbai
687,3874000,730,Ambernath East,1,Mumbai
689,9600000,650,Magathane,1,Mumbai
690,10800000,650,Magathane,1,Mumbai
691,18500000,1050,Dattapada,2,Mumbai
692,21000000,1250,Dattapada,2,Mumbai
693,15000000,1050,Dattapada,2,Mumbai
695,30000000,1450,Magathane,3,Mumbai
696,30000000,1450,Magathane,3,Mumbai
701,9600000,650,Magathane,1,Mumbai
702,10800000,650,Magathane,1,Mumbai
703,18500000,1050,Dattapada,2,Mumbai
704,21000000,1250,Dattapada,2,Mumbai
705,15000000,1050,Dattapada,2,Mumbai
707,30000000,1450,Magathane,3,Mumbai
708,30000000,1450,Magathane,3,Mumbai
713,10500000,650,Magathane,1,Mumbai
714,16500000,1050,Dattapada,2,Mumbai
715,9600000,650,Magathane,1,Mumbai
716,28500000,1350,Dattapada,3,Mumbai
718,19000000,1050,Dattapada,2,Mumbai
719,18800000,1350,Rajendra Nagar,3,Mumbai
721,15000000,950,Dattapada,2,Mumbai
722,24000000,1300,Dattapada,3,Mumbai
723,11200000,600,Dattapada,1,Mumbai
725,27500000,1357,Magathane,3,Mumbai
727,10000000,650,Magathane,1,Mumbai
729,15500000,1050,Dattapada,2,Mumbai
733,26500000,1450,Magathane,3,Mumbai
734,23000000,1100,Dattapada,3,Mumbai
735,18000000,1350,Rajendra Nagar,3,Mumbai
736,19000000,1350,Rajendra Nagar,3,Mumbai
740,19000000,1150,Rajendra Nagar,3,Mumbai
742,9800000,585,Magathane,1,Mumbai
743,9800000,585,Magathane,1,Mumbai
746,16500000,1050,Dattapada,2,Mumbai
747,18000000,1050,Dattapada,2,Mumbai
749,15000000,1050,Dattapada,2,Mumbai
753,28200000,1170,Kandivali East,3,Mumbai
754,26400000,1014,Kandivali East,3,Mumbai
758,26000000,1350,other,3,Mumbai
759,28000000,1350,other,3,Mumbai
760,16000000,1350,Sector 17 Ulwe,2,Mumbai
763,7500000,725,other,1,Mumbai
765,10900000,654,Mira Road and Beyond,1,Mumbai
766,7400000,400,Mira Road and Beyond,1,Mumbai
767,7300000,450,Mira Road and Beyond,1,Mumbai
769,7500000,385,other,1,Mumbai
770,36100000,1346,mumbai,3,Mumbai
775,5800000,770,Mira Road and Beyond,1,Mumbai
776,2700000,400,Mira Road and Beyond,1,Mumbai
779,3500000,565,Mira Road and Beyond,1,Mumbai
781,7000000,450,other,1,Mumbai
782,17500000,950,Dattapada,2,Mumbai
784,26000000,1350,other,3,Mumbai
785,19500000,1200,Dattapada,3,Mumbai
786,16000000,850,Dattapada,2,Mumbai
787,19000000,1350,Rajendra Nagar,3,Mumbai
790,18000000,1350,Rajendra Nagar,3,Mumbai
792,26500000,1450,Magathane,3,Mumbai
795,19100000,1100,Rajendra Nagar,3,Mumbai
796,30000000,1450,Magathane,3,Mumbai
800,28000000,1580,other,3,Mumbai
801,21500000,1345,other,3,Mumbai
802,2170000,505,other,1,Mumbai
806,9500000,852,Kharghar,2,Mumbai
809,35000000,969,other,2,Mumbai
810,34800000,950,other,2,Mumbai
812,4700000,690,other,1,Mumbai
813,3800000,422,other,1,Mumbai
815,5900000,576,other,1,Mumbai
816,11299999,600,Borivali East,1,Mumbai
817,15500000,907,Borivali East,2,Mumbai
820,6800000,543,Bhandup West,1,Mumbai
821,31000000,1267,Wadala,3,Mumbai
822,40000000,1735,Wadala,3,Mumbai
823,58500000,3410,other,4,Mumbai
824,40199999,1850,Malad West,3,Mumbai
825,5000000,702,other,1,Mumbai
826,6500000,566,Dahisar,1,Mumbai
828,6400000,506,other,1,Mumbai
829,6400000,509,Thane West,1,Mumbai
831,2350000,685,other,1,Mumbai
835,2800000,650,Virar,1,Mumbai
837,2600000,590,Nala Sopara,1,Mumbai
838,6000000,650,Mira Road East,1,Mumbai
839,4800000,700,Mira Road East,1,Mumbai
840,17500000,1600,Kharghar,3,Mumbai
842,16500000,1502,Kharghar,3,Mumbai
843,17500000,1600,Kharghar,3,Mumbai
844,4800000,650,Kharghar,1,Mumbai
850,16500000,1600,Kharghar,3,Mumbai
851,16500000,1600,Kharghar,3,Mumbai
852,21000000,2030,Kharghar,3,Mumbai
854,16000000,1680,Kharghar,3,Mumbai
855,17000000,1810,Kharghar,3,Mumbai
859,31100000,3275,Kharghar,4,Mumbai
860,16000000,1680,Kharghar,3,Mumbai
861,17000000,1810,Kharghar,3,Mumbai
865,31100000,3275,Kharghar,4,Mumbai
866,30400000,3205,Kharghar,4,Mumbai
869,16000000,1725,Kharghar,3,Mumbai
871,16500000,1660,Kharghar,3,Mumbai
872,18500000,1700,Kharghar,3,Mumbai
873,15500000,1130,Kharghar,2,Mumbai
874,17900000,1810,Kharghar,3,Mumbai
875,30400000,3205,Kharghar,4,Mumbai
878,8500000,484,Kanjurmarg,1,Mumbai
879,180000000,2200,other,3,Mumbai
880,3000000,320,Mira Road and Beyond,1,Mumbai
881,29400000,1618,Goregaon East,3,Mumbai
882,31000000,1475,Kandivali East,3,Mumbai
883,24500000,1350,Kandivali East,3,Mumbai
887,31500000,1786,Kandivali East,3,Mumbai
889,47000000,1920,Kandivali East,4,Mumbai
891,6100000,400,Kandivali East,1,Mumbai
892,100000000,2000,other,3,Mumbai
893,13500000,640,Bhandup West,2,Mumbai
894,5500000,510,Bhandup West,1,Mumbai
895,4500000,650,Ulwe,1,Mumbai
897,4800000,661,Mira Road East,1,Mumbai
898,21500000,1500,Goregaon West,3,Mumbai
899,360000000,5476,Lower Parel,5,Mumbai
900,5500000,619,other,1,Mumbai
901,5600000,619,other,1,Mumbai
903,7000000,995,Sector12 Kamothe,2,Mumbai
904,16000000,1700,Sector12 Kamothe,3,Mumbai
906,7600000,1100,Sector 19 Kharghar,2,Mumbai
909,3200000,410,other,1,Mumbai
910,5000000,650,Sector 20 Kharghar,1,Mumbai
911,6400000,925,Sector 10,2,Mumbai
917,21500000,1500,Goregaon West,3,Mumbai
918,360000000,5476,Lower Parel,5,Mumbai
924,4800000,653,Kamothe,1,Mumbai
927,48000000,1296,Vasai,2,Mumbai
928,72500000,2014,Ghatkopar West,3,Mumbai
929,70000000,1503,other,2,Mumbai
930,175000000,1903,Thane West,4,Mumbai
931,86500000,1376,other,3,Mumbai
932,120000000,3600,Worli,4,Mumbai
933,75000000,1706,other,3,Mumbai
934,2600000,686,Nala Sopara,1,Mumbai
935,4500000,650,Ulwe,1,Mumbai
937,4800000,661,Mira Road East,1,Mumbai
938,21500000,1500,Goregaon West,3,Mumbai
939,360000000,5476,Lower Parel,5,Mumbai
943,11000000,600,Borivali East,1,Mumbai
944,22500000,1189,Borivali East,3,Mumbai
946,14500000,1100,Nerul,2,Mumbai
947,13000000,1100,Nerul,2,Mumbai
948,6500000,650,Nerul,1,Mumbai
949,7000000,400,Kandivali East,1,Mumbai
950,7800000,1055,Sector-3 Ulwe,2,Mumbai
951,5100000,710,Sector-3 Ulwe,1,Mumbai
952,9000000,417,Mulund West,1,Mumbai
954,21500000,1080,Borivali East,2,Mumbai
955,32000000,1300,Kandivali West,3,Mumbai
957,3800000,738,Taloja,1,Mumbai
962,21000000,900,other,2,Mumbai
963,20000000,900,other,2,Mumbai
964,21000000,900,other,2,Mumbai
965,18500000,1200,other,3,Mumbai
966,20500000,900,other,2,Mumbai
967,12500000,510,Wadala,1,Mumbai
968,40000000,1735,Wadala,3,Mumbai
969,11000000,670,Borivali West,1,Mumbai
970,150000000,2710,other,3,Mumbai
971,19500000,800,Worli,1,Mumbai
972,55000000,1388,Lower Parel,2,Mumbai
973,45000000,1100,Worli,2,Mumbai
974,400000000,3638,Worli,4,Mumbai
975,70000000,1700,Worli,3,Mumbai
976,85000000,1700,other,3,Mumbai
980,3100000,450,other,1,Mumbai
982,4500000,603,other,1,Mumbai
983,13500000,1340,Sector 19 Kharghar,2,Mumbai
984,16000000,1550,Sector 10,2,Mumbai
985,11000000,1160,Sector 10,2,Mumbai
986,6500000,650,Sector 20 Kharghar,1,Mumbai
987,5600000,610,Sector 20 Kharghar,1,Mumbai
988,7200000,860,Sector 10,1,Mumbai
989,5500000,640,Sector 20 Kharghar,1,Mumbai
990,6000000,560,other,1,Mumbai
992,6000000,850,Sector 19 Kharghar,1,Mumbai
995,5000000,500,other,1,Mumbai
996,5600000,635,Sector 19 Kharghar,1,Mumbai
997,4600000,610,other,1,Mumbai
1003,9900000,1125,Sector 10,2,Mumbai
1004,10000000,1098,Sector 19 Kharghar,2,Mumbai
1005,13000000,1300,Sector 20 Kharghar,2,Mumbai
1006,7800000,735,other,1,Mumbai
1007,4200000,640,other,1,Mumbai
1009,4500000,800,other,1,Mumbai
1011,5300000,560,Sector 20 Kharghar,1,Mumbai
1012,16000000,1400,Sector 20 Kharghar,3,Mumbai
1013,11100000,1117,Sector 20 Kharghar,2,Mumbai
1015,6000000,675,other,1,Mumbai
1016,11000000,1100,Sector 20 Kharghar,2,Mumbai
1017,5000000,650,other,1,Mumbai
1018,6500000,675,Sector 19 Kharghar,1,Mumbai
1019,5500000,450,other,1,Mumbai
1020,13000000,1300,Sector 20 Kharghar,2,Mumbai
1021,5500000,640,Sector 20 Kharghar,1,Mumbai
1022,7200000,860,Sector 10,1,Mumbai
1023,6000000,560,other,1,Mumbai
1024,5500000,650,other,1,Mumbai
1026,7000000,735,other,1,Mumbai
1027,4600000,600,other,1,Mumbai
1029,10600000,1070,Sector 10,2,Mumbai
1031,10500000,911,Sector 20 Kharghar,2,Mumbai
1032,11100000,1117,Sector 20 Kharghar,2,Mumbai
1035,3800000,555,Dombivali East,1,Mumbai
1036,3600000,600,Dombivali East,1,Mumbai
1037,3700000,550,Dombivali East,1,Mumbai
